slno,Date,HS Code,Product Description,Consignee Name,Shipper Name,Consignee Address 1 ,Consignee Address 2,Shipper Address1 ,Shipper Address 2 ,Standard Qty,Standard Unit,Standard Unit Rate $,Tax %,Estimated CIF Value $,Unit Rate $,Port of Destination,Country of Origin,QTY,Unit,Rate In FC,Rate Currency,Tax $,Landed Value $,Month,HS2,HS4,Consignee City,Consignee Pincode,Consignee State,Consignee Phone,Consignee E-mail,Contact Person,Shipper City,Shipper Country,Notify Party,BL TYP,Shipment Mode,Port Of Origin,HS Description,Raw Consignee Name,Raw Shipper Name,Raw Consignee Add1,Raw Consignee Add2,Raw Shipper Address1,Raw Shipper Address2,Raw Consignee City,Raw Consignee Pincode,Raw Consignee State,Raw Consignee Phone,Raw Consignee E-mail,Record Id
530,17-06-2023,90021100,LENS AF-S NIKKOR 105MM F/1.4E ED JAA343DA LENS FOR DIGITAL STILL IMAGE VIDEO CAMERA,NIKON INDIA PRIVATE LIMITED,NIKON SINGAPORE PTE LTD,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"18 TAI SENG STREET, #04-08, 18 TAI SENG, SINGAPORE 539775, Singapore SDNF Singapore",NA,10,NOS,974.731,30.9800078,9747.31,974.73,Delhi Air,China,10,NOS,80173.5,INR,3019.71,12767.02,Jun-2023,90,9002,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,SAJJAN KUMAR,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",NIKON INDIA PRIVATE LIMITED,NIKON SINGAPORE PTE LTD,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"18 TAI SENG STREET, #04-08, 18 TAI SENG,  SINGAPORE 539775, Singapore SDNF Singapore",NA,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,42002488
531,17-06-2023,90021100,SIGMA LENSES TELE CONVERTER TC 1401 F/CANON CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,2,NOS,186.685,30.97974421,373.37,186.69,Madras Air,Japan,2,NOS,189,USD,115.67,489.04,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247647
532,17-06-2023,90021100,SIGMA LENSES AF 150-600MM F/5-6.3 DG DN OS S F/L MOUNT CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,2,NOS,898.265,30.97998308,1796.53,898.27,Madras Air,Japan,2,NOS,893,USD,546.53,2343.06,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247646
533,17-06-2023,90021100,SIGMA LENSES AF 56MM F/1.4 DC DN C F/CANON EF-M CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,10,NOS,253.486,18.00000787,2534.86,253.49,Madras Air,Japan,10,NOS,252,USD,448.05,2982.91,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247641
534,17-06-2023,90021100,SIGMA LENSES AF 35MM F/1.4 DG DN A F/SE CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,110,NOS,544.191,17.99999953,59860.96,544.19,Madras Air,Japan,110,NOS,541,USD,10774.97,70635.93,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247632
535,17-06-2023,85258900,SIGMA FP DIGITAL CAMERA BIS NO:R-41234877,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,8,NOS,1124.938,18.00000726,8999.5,1124.94,Madras Air,Japan,8,NOS,1113,USD,1619.91,10619.41,Jun-2023,85,8525,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42217243
536,17-06-2023,85258900,N5409160 CH-S200-XZ-EB HD 3CMOS CAMERA HEAD CAMERA FOR ENDOSCOPIC  EQUIP. ,OLYMPUS MEDICAL SYSTEMS INDIA PRIVATE LIMITED,OLYMPUS CORPORATION,"GROUND FLOOR, TOWER - C, SAS TOWER ,THE MEDICITY COMPLEX, SECTOR - 38 ,",NA,"SHINJUKU MONOLITH,3-1 NISHI-SHINJUKU 2-CHOME,SHINJUKU-KU,TOKYO  JAPAN",NA,7,NOS,3473.853,30.97999699,24316.97,3473.85,Delhi Air,Japan,7,PCS,287651,INR,7533.39,31850.36,Jun-2023,85,8525,GURGAON,122001,HARYANA,NA,kuldeep1.singh@olympus-ap.com,MOTOKI  INOUE,NA,NA,NA,WH,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",OLYMPUS MEDICAL SYSTEMS INDIA PRIVATE LIMITED,OLYMPUS CORPORATION,"GROUND FLOOR, TOWER - C, SAS TOWER ,THE MEDICITY COMPLEX, SECTOR - 38 ,",NA,"SHINJUKU MONOLITH,3-1 NISHI-SHINJUKU 2-CHOME,SHINJUKU-KU,TOKYO  JAPAN",NA,GURGAON,122001,HARYANA,NA,kuldeep1.singh@olympus-ap.com,42878106
537,17-06-2023,90021100,SIGMA LENSES AF 150-600MM F/5-6.3 DG DN OS S F/SE CAMERALENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,2,NOS,898.265,30.97998308,1796.53,898.27,Madras Air,Japan,2,NOS,893,USD,546.53,2343.06,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247645
538,17-06-2023,90021100,SIGMA LENSES AF 24-105MM F/4.0 DG OS HSM F/CANON CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,4,NOS,528.097,17.99998874,2112.39,528.1,Madras Air,Japan,4,NOS,525,USD,373.37,2485.76,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247635
539,17-06-2023,90021100,SIGMA LENSES AF 16MM F/1.4 DC DN C F/SE CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,80,NOS,243.427,17.99999812,19474.17,243.43,Madras Air,Japan,80,NOS,242,USD,3505.36,22979.53,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247642
540,17-06-2023,90021100,SIGMA LENSES AF 85MM F/1.4 DG DN A F/SE CAMERA LENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,50,NOS,640.757,18.00000206,32037.84,640.76,Madras Air,Japan,50,NOS,637,USD,5766.8,37804.64,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247633
541,17-06-2023,90021100,SIGMA LENSES AF 70-200MM F/2.8 DG OS HSM S F/CANON CAMERALENSES,SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,1,NOS,819.84,18.00006535,819.84,819.84,Madras Air,Japan,1,NOS,830,USD,147.57,967.41,Jun-2023,90,9002,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,GOPAL SESHAN,NA,NA,NA,HC,Air,Not Available,"LENSES, PRISMS, MIRRORS AND OTHER OPTICAL ELEMENTS, OF ANY MATERIAL, MOUNTED, BEING PARTS OF OR FITTINGS FOR INSTRUMENTS OR APPARATUS, OTHER THAN SUCH ELEMENTS OF GLASS NOT OPTICALLY WORKED",SHETALA AGENCIES PVT LTD,SIGMA CORPORATION,"NO.111,MOUNT VIEW AOARTMENTS. NO.111,MOUNT RD. GUINDY , -",NA,"2-4-16 KURIKI, ASAO-KU,  KAWASAKI-S HI, KANAGAWA, 215-8530   JAPAN SDNF JAPAN",NA,CHENNAI,600032,TAMIL NADU,NA,shetala@giasmd01.vsnl.net.in,42247634
542,19-06-2023,85258900,"HC-V385GW-K HIGH DEFINITION VIDEO CAMERA LITHIUM ION BATTERIES PACKED WITH  EQUIP.  BIS NO: R-41206741 ""PANASONIC"" BRAN",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,200,NOS,127.11,17.99999923,25422.02,127.11,Delhi Air,Malaysia,200,NOS,125.56,USD,4575.96,29997.98,Jun-2023,85,8525,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,VIVEK SHARMA                       ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,42299614
543,20-06-2023,85258900,"DIGITAL CAMERA Z 8 BK IN N2120 CAN RECORD MORE THAN 30 MIN.IN A SINGLE SEQUENCE,> 23FPS,>800X600 PIXELS",NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,152,NOS,2321.079,17.99999998,352804,2321.08,Delhi Air,Thailand,152,NOS,192180,INR,63390.4,416194.4,Jun-2023,85,8525,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,SAJJAN KUMAR,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,41999847
544,20-06-2023,85258900,"DIGITAL CAMERA Z 8 BK IN 24-120F4 KIT N2120CAN RECORD MORETHAN 30 MIN.IN A SINGLE SEQUENCE,> 23FPS,>800X600 PIXELS",NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,48,NOS,2798.292,18.00000033,134318.01,2798.29,Delhi Air,Thailand,48,NOS,231692.13,INR,24133.72,158451.73,Jun-2023,85,8525,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,SAJJAN KUMAR,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,41999848
545,21-06-2023,85258900,"HC-V385GW-K HIGH DEFINITION VIDEO CAMERA LITHIUM ION BATTERIES PACKED WITH  EQUIP.  BIS NO: R-41206741 ""PANASONIC"" BRAN",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,200,NOS,127.089,17.99999845,25417.79,127.09,Delhi Air,Malaysia,200,NOS,125.56,USD,4575.2,29992.99,Jun-2023,85,8525,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,VIVEK SHARMA                       ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,43279387
546,21-06-2023,85258900,"DC-S5M2XWGW DIGITAL STILL CAMERA LITHIUM ION BATTERIES PACKED WITH  EQUIP.  BIS NO: R-41203602 ""PANASONIC"" BRAND",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,40,NOS,1259.137,18.00000023,50365.47,1259.14,Delhi Air,China,40,NOS,1253.97,USD,9065.78,59431.25,Jun-2023,85,8525,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,VIVEK SHARMA                       ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,KADOMA SHI OSAKA 1006 OAZA KADOMA - JAPAN - OSAKA PAY TO: PANASONIC AS IA PACIFIC PTE.LTD 300 BEACH ROAD # Singapore,NA,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,43279372
547,21-06-2023,85258900,V0K040WN DIGITAL CAMERA Z5 BK IN 24-50 BK KITN1933REGN NO.ETA-SD-20200603441 DT. 25.06.20DIGITAL STILL IMAGE VIDEO,NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,12,NOS,932.436,17.99999918,11189.23,932.44,Delhi Air,Thailand,12,NOS,76948.41,INR,2014.06,13203.29,Jun-2023,85,8525,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,SAJJAN KUMAR,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",NIKON INDIA PRIVATE LIMITED,NIKON CORPORATION,"PLOT NO.71, OFFICE BAY SECTOR-32,I NSTITUTIONAL AREA, ,",NA,"SHINAGAWA INTERCITY TOWER C, 2-15-3KONAN, MINATO-KU, TOKYO 108-6290JAPAN  JAPAN",NA,GURGAON,122001,HARYANA,NA,nilakantha.das@nikon.com,43840546
548,21-06-2023,85258900,"DC-S5M2GW DIGITAL STILL CAMERA LITHIUM ION BATTERIES PACKEDWITH  EQUIP.  BIS NO: R-41203602 ""PANASONIC"" BRAND",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,4,NOS,938.79,17.99999578,3755.16,938.79,Delhi Air,China,4,NOS,934.94,USD,663.74,4418.9,Jun-2023,85,8525,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,VIVEK SHARMA                       ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,KADOMA SHI OSAKA 1006 OAZA KADOMA - JAPAN - OSAKA PAY TO: PANASONIC AS IA PACIFIC PTE.LTD 300 BEACH ROAD # Singapore,NA,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,43279370
549,21-06-2023,85258900,"DC-S5M2XKGW DIGITAL STILL CAMERA LITHIUM ION BATTERIES PACKED WITH  EQUIP.  BIS NO: R-41203602 ""PANASONIC"" BRAND",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,"Kadoma - Shi, Osaka 1006, Oaza Kado ma Japan,Osaka PAY TO: Panasonic As ia Pacific Pte. Ltd 300 Beach Road Singapore",NA,35,NOS,1167.722,17.99999966,40870.26,1167.72,Delhi Air,China,35,NOS,1162.93,USD,7356.65,48226.91,Jun-2023,85,8525,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,VIVEK SHARMA                       ,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",PANASONIC LIFE SOLUTIONS INDIA PRIVATE LIMITED,PANASONIC OPERATIONAL EXCELLENCE CO LTD,"3RD FLOOR B WING I THINK,TECHNO CA MPUS POKHRAN RD NO 2",NA,KADOMA SHI OSAKA 1006 OAZA KADOMA - JAPAN - OSAKA PAY TO: PANASONIC AS IA PACIFIC PTE.LTD 300 BEACH ROAD # Singapore,NA,THANE,400607,MAHARASHTRA,NA,gururaj.naik@anchor-world.com,43279371
